GPU time: 12725.382s for 4571
building_id,mean,std,%>18,%<15
4611,17.0804,6.6186,52.0,37.0
4612,16.8897,6.5685,50.6,38.0
4613,17.2583,6.5296,53.0,35.7
4614,17.4035,6.5563,54.2,35.0
462,9.0147,5.9051,13.2,83.0
4620,13.1226,6.8683,28.5,63.2
4621,14.0037,7.0373,32.8,57.2
4624,12.8413,6.4007,25.8,62.9
4625,12.8063,6.4083,25.7,63.3
4629,14.1996,6.7892,36.3,52.3
463,10.6501,6.9263,21.2,73.2
4630,13.0230,6.8871,30.6,60.1
4631,11.5180,6.4216,21.1,70.6
4634,19.9752,5.7502,72.5,19.4
4635,8.9375,5.9125,12.4,83.6
4636,12.8328,7.2226,30.8,61.7
4637,11.9542,7.0420,25.9,67.0
4638,11.6558,6.8571,23.9,69.2
4639,13.7089,7.1507,33.6,57.7
4640,14.8111,7.0359,39.4,51.3
46400,14.4682,5.9085,31.3,56.9
4641,16.2505,6.9637,47.7,42.9
46422,9.7808,5.0459,10.3,83.4
4643,18.1208,6.7322,60.0,31.8
4645,13.0737,7.1411,31.4,60.7
4646,12.2942,7.0051,27.7,64.1
46465,14.8184,6.5408,37.7,51.0
4647,13.9272,6.8191,34.4,55.4
4648,14.7149,6.9779,39.7,50.3
46484,16.7519,6.7029,50.5,39.3
46485,17.2092,6.6760,53.6,36.6
46487,12.2003,6.5812,25.0,65.7
46489,17.4609,6.8208,54.7,36.2
4649,13.3911,6.7835,31.3,58.3
46492,17.3879,6.8611,54.4,36.7
46497,17.3894,6.8563,54.4,36.7
4650,13.3353,6.8290,32.1,58.5
4651,13.2305,7.0279,31.9,59.3
4652,13.1906,6.9273,31.2,59.4
4653,15.5078,7.0107,42.8,48.2
4654,14.4198,7.1974,38.0,54.5
4657,18.1624,6.6681,59.6,31.4
4658,15.3561,7.0287,42.3,48.6
4661,14.5604,6.7135,36.2,54.1
46642,16.5940,6.8611,49.3,41.2
46644,16.4568,7.0654,49.1,41.9
4665,13.5052,5.8037,25.7,64.1
46664,19.3102,6.5795,65.3,26.9
46665,19.6980,6.4295,67.8,24.8
46667,19.3605,6.7617,67.4,26.1
46686,9.5615,5.6622,11.7,83.2
46687,14.1073,6.9015,33.5,57.6
46688,12.5804,6.7820,25.9,66.4
4669,14.5770,6.1605,36.1,50.1
467,16.5439,7.0869,49.5,42.0
4670,14.1557,6.1365,33.0,55.6
46707,16.6155,6.9677,51.6,39.5
4671,18.5699,6.1499,61.5,26.8
4672,11.8771,5.8273,18.9,72.0
4673,18.5031,6.1314,63.1,27.0
4675,17.8129,6.2365,57.5,31.6
4678,12.7867,7.1034,29.5,62.9
4679,14.8868,7.2392,39.3,52.3
468,18.6960,6.3111,62.8,28.2
4681,16.9549,6.1786,48.6,35.9
4684,15.4080,7.0736,41.9,49.2
4685,14.5861,7.1608,38.5,53.1
4687,14.5847,6.9941,37.0,54.1
4690,13.9867,6.5821,33.1,57.1
4691,14.1099,7.3790,34.9,58.0
46977,18.3969,6.4811,61.4,29.8
4698,12.9615,7.0437,29.2,62.6
46980,17.1737,6.8597,53.4,37.2
4699,11.7508,6.5770,23.0,69.0
470,17.8615,6.7001,57.4,33.9
4703,14.4093,7.1665,36.8,55.4
4704,14.4056,6.7316,35.2,55.0
4705,13.0683,6.9273,29.6,62.3
47077,12.5737,6.4425,24.5,67.0
4708,14.5209,6.8400,35.9,54.5
47083,13.6457,6.7420,31.6,59.6
4709,14.2006,6.6912,34.1,56.1
47093,15.3330,6.8696,41.7,48.8
47097,15.4880,6.8512,42.6,47.9
471,17.4344,6.8392,54.9,36.2
47102,14.8164,6.5329,37.3,52.0
47105,16.8384,6.6852,49.9,39.9
47106,14.5759,6.5832,36.3,51.8
4711,14.8274,6.5470,37.6,51.6
47111,16.5589,6.8045,48.9,41.3
4712,13.9343,6.7354,32.9,57.5
47122,11.9375,6.3506,22.7,68.8
47128,11.2497,6.3840,21.5,69.8
4713,12.5473,6.9519,27.6,64.9
47133,13.9701,6.4943,33.5,54.4
47137,13.3300,7.3102,32.1,60.8
47151,13.4721,5.6753,25.7,59.5
4716,20.2200,5.9684,72.1,20.8
4717,15.7967,7.3975,44.9,45.8
4718,9.1970,5.9671,12.2,82.6
4720,17.4258,6.5277,54.7,35.7
4721,17.4081,6.5469,54.8,35.7
47229,18.4129,6.5818,63.3,28.8
4723,18.0570,6.7293,59.5,32.2
47232,15.8767,7.2353,45.7,45.9
47236,14.9485,7.8218,43.8,50.5
47241,14.9555,6.5781,38.8,49.8
47247,14.8206,6.6124,38.0,50.7
47254,16.5100,6.9933,49.3,41.4
47259,13.3763,7.5512,34.6,58.0
4728,18.0818,6.7647,59.2,32.5
47280,15.1401,6.5928,40.2,48.9
47283,15.5734,6.8244,43.0,48.6
4729,18.3054,6.6219,59.8,30.8
47320,16.3860,7.0711,49.5,41.3
47332,14.8781,6.8011,39.6,50.9
47348,14.3401,7.4943,37.7,55.1
4735,11.1208,5.7539,16.4,75.2
47353,14.6539,6.6147,35.6,54.9
47357,14.3680,6.2150,30.5,56.1
4736,12.4761,6.2658,23.8,67.1
4737,14.0965,5.6928,28.0,58.9
474,15.9194,6.5179,43.8,44.5
4740,11.2480,6.4773,20.2,71.9
47409,14.0901,7.0294,35.7,55.2
4741,12.4803,6.4563,25.0,66.3
47416,14.3135,6.9462,36.9,53.7
47420,12.7748,6.6891,27.9,63.4
4743,13.3683,6.8280,30.5,60.5
47432,15.2677,6.6125,42.2,46.4
47441,17.2415,6.6024,53.9,36.0
4749,15.3490,6.7998,39.8,49.9
47492,17.5761,6.7334,56.6,34.6
475,16.9466,7.0229,53.5,38.2
4750,15.8721,6.4593,43.5,43.7
4752,13.9627,7.0006,33.5,57.3
47530,13.3139,5.8882,25.1,59.7
4754,15.1110,6.9681,39.5,50.5
4755,15.8760,6.6720,43.8,44.4
47555,13.9839,7.0781,35.7,55.5
47556,13.5987,7.0222,33.0,57.5
47557,13.2405,7.0191,31.2,60.0
4757,13.8040,6.7373,31.3,59.7
4758,17.7399,6.7927,56.2,34.8
47586,13.0736,6.4386,27.6,61.8
4759,13.4128,7.4485,32.6,58.7
47591,14.0829,7.3253,37.0,55.1
47597,14.0589,6.8801,34.2,56.6
47599,13.9342,6.8814,33.7,57.0
476,14.8636,6.9532,39.3,49.5
4760,16.4466,6.7919,48.7,41.5
47605,14.6110,6.7566,35.4,55.0
4762,13.5781,7.1498,32.1,59.9
47628,14.7658,7.0027,39.8,49.7
47633,14.0509,6.8820,35.7,54.2
47636,15.1659,6.8848,40.5,47.9
47638,16.4776,6.6606,47.2,41.1
47666,16.0311,7.0456,45.9,43.8
47670,13.5336,6.6018,31.0,59.2
47673,13.4543,7.7421,35.0,57.8
47696,9.3083,5.6361,11.6,83.3
477,14.6719,6.7022,36.7,53.3
47701,16.6460,7.1289,49.3,41.8
47707,17.6042,6.9990,57.0,34.8
47709,14.3027,6.8985,32.9,57.3
47715,18.0483,5.9718,56.5,32.7
4774,13.3100,6.6130,30.3,60.6
47740,13.8522,7.2356,35.2,57.2
47744,17.5082,6.9092,55.7,35.4
47748,13.7454,6.5200,29.7,59.8
47750,15.2240,6.9924,39.8,51.0
47822,18.5160,6.4949,61.8,29.1
47827,14.3360,6.7875,36.0,53.7
47831,15.4524,7.3023,44.7,47.1
47835,14.3150,7.3523,38.8,52.9
47837,16.5571,7.0609,48.8,42.3
47840,15.1819,7.1931,41.7,48.8
47841,16.8555,6.6387,51.5,38.0
47849,15.6111,7.1028,44.3,46.9
47850,14.9306,6.8048,37.5,52.5
47852,15.6785,7.0010,44.1,46.5
47855,15.0761,7.0674,40.4,51.0
47857,15.3342,6.8972,41.5,48.8
47873,11.9569,6.6123,22.8,70.5
47930,16.9543,6.6245,52.4,37.9
47934,14.0071,7.1166,35.6,56.4
47935,14.7510,7.2192,40.5,51.2
47936,14.7295,7.2441,40.5,51.2
47941,16.2702,6.9778,48.2,42.5
47945,16.3511,6.9758,48.9,42.1
47960,14.9057,6.6869,38.1,52.1
47961,13.5023,6.9488,31.9,59.2
4799,12.9293,6.3841,26.8,61.1
47991,14.2692,6.9530,35.2,55.2
4800,18.5357,6.0654,63.2,27.1
4801,16.5715,6.1111,47.9,36.7
4802,18.3755,6.3457,61.1,27.3
4803,19.1876,5.8185,68.8,22.6
48059,16.4699,7.0389,48.4,41.9
48075,11.7024,7.0244,25.4,68.3
48079,16.8167,7.0887,51.2,39.3
48091,14.8890,6.4834,37.8,50.9
48093,14.0333,7.2388,36.6,54.2
48192,17.9717,6.0069,57.5,31.1
48196,18.7799,5.7763,64.9,24.5
48197,17.8201,5.9688,57.5,31.3
4828,11.7670,6.7803,23.6,70.1
48285,13.0953,7.2385,30.7,62.2
48289,14.7225,6.5306,36.9,51.9
4829,10.9118,6.4663,19.3,75.0
48302,16.9746,6.8856,51.7,39.3
48304,14.6653,6.3425,35.7,51.6
48305,13.6523,7.0596,33.3,57.8
48312,12.7061,7.0786,28.6,62.3
48314,11.9423,5.9688,20.0,70.8
48318,12.5850,6.9856,27.9,64.8
4832,14.7417,6.7539,37.7,52.1
48361,16.3343,6.9442,48.4,41.8
48370,17.4928,6.5239,54.8,35.1
48371,18.2108,6.4983,59.7,31.1
4840,15.6470,7.5173,44.7,46.5
48408,17.3784,6.7486,54.5,36.0
4844,15.9546,7.3231,46.1,44.3
4847,17.4186,7.0029,55.9,36.1
4848,17.7324,6.9910,57.0,34.7
4849,18.6237,6.0907,63.4,27.7
